"Chr.x"	"Start.x"	"End.x"	"Peak Score.x"	"Chr.y"	"Start.y"	"End.y"	"Peak Score.y"
"chrUn_GL456392"	22178	23178	208	"chr10"	18196841	18197841	88
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr8"	107096288	107097288	100
"chrUn_GL456392"	22178	23178	208	"chr8"	69183561	69184561	123
"chrUn_GL456392"	22178	23178	208	"chr10"	18196841	18197841	88
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr8"	107096288	107097288	100
"chrUn_GL456392"	22178	23178	208	"chr8"	69183561	69184561	123
"chrUn_GL456392"	22178	23178	208	"chr10"	18196841	18197841	88
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr8"	107096288	107097288	100
"chrUn_GL456392"	22178	23178	208	"chr8"	69183561	69184561	123
"chrUn_GL456392"	22178	23178	208	"chr10"	18196841	18197841	88
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr8"	107096288	107097288	100
"chrUn_GL456392"	22178	23178	208	"chr8"	69183561	69184561	123
"chrUn_GL456392"	22178	23178	208	"chr10"	18196841	18197841	88
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr8"	107096288	107097288	100
"chrUn_GL456392"	22178	23178	208	"chr8"	69183561	69184561	123
"chrUn_GL456389"	10142	11142	526	"chr10"	18196841	18197841	88
"chrUn_GL456389"	10142	11142	526	"chr2"	53190318	53191318	135
"chrUn_GL456389"	10142	11142	526	"chr2"	53190318	53191318	135
"chrUn_GL456389"	10142	11142	526	"chr8"	107096288	107097288	100
"chrUn_GL456389"	10142	11142	526	"chr8"	69183561	69184561	123
"chrUn_GL456392"	22178	23178	208	"chr10"	18196841	18197841	88
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr2"	53190318	53191318	135
"chrUn_GL456392"	22178	23178	208	"chr8"	107096288	107097288	100
"chrUn_GL456392"	22178	23178	208	"chr8"	69183561	69184561	123
"chr3"	95950661	95951661	141	"chr3"	95929144	95930144	176
"chr2"	25223970	25224970	54	"chr2"	25223410	25224410	71
"chr3"	135211772	135212772	206	"chr3"	135212516	135213516	132
"chr9"	21616384	21617384	116	"chr9"	21615214	21616214	132
"chr9"	21616384	21617384	116	"chr9"	21615856	21616856	84
"chr12"	110695371	110696371	166	"chr12"	110706414	110707414	63
"chr9"	120571426	120572426	139	"chr9"	120570687	120571687	112
"chr4"	128993093	128994093	146	"chr4"	128993699	128994699	50
"chr19"	5366526	5367526	141	"chr19"	5365685	5366685	109
"chr11"	69671345	69672345	131	"chr11"	69670541	69671541	169
"chr2"	85037154	85038154	185	"chr2"	85036478	85037478	94
"chr9"	66946021	66947021	200	"chr9"	66945278	66946278	121
"chr9"	66946021	66947021	200	"chr9"	66945278	66946278	121
"chr5"	135778366	135779366	153	"chr5"	135778801	135779801	40
